country,count
United States,60344
Germany,24165
France,17659
United Kingdom,15917
Italy,13041
Russia,12078
Spain,9961
Netherlands,9895
Canada,8147
Poland,7587
Brazil,7013
Sweden,6935
Japan,6238
India,6143
Australia,6119
Norway,5335
Austria,5156
Argentina,4733
Finland,4195
Czech Republic,3975
Belgium,3646
Hungary,3391
Israel,3337
Switzerland,3331
Mexico,2677
South Korea,2605
Ukraine,2349
Denmark,2339
"Iran, Islamic Republic of",2159
Turkey,2095
Romania,1980
Chile,1977
China,1941
New Zealand,1880
Slovenia,1728
Ireland,1424
Serbia,1327
Estonia,1293
Colombia,1292
Portugal,1227
Bulgaria,1196
South Africa,1133
Greece,980
Uruguay,904
Philippines,897
Croatia,896
"Venezuela, Bolivarian Republic of",877
Slovakia,813
Latvia,805
Lithuania,787
Nigeria,770
"Taiwan, Province of China",756
Indonesia,743
Peru,692
Tunisia,640
Belarus,630
Thailand,619
Cuba,583
Ecuador,574
Yugoslavia,566
Egypt,562
Dominican Republic,507
Pakistan,481
Armenia,474
Azerbaijan,461
Malaysia,454
Morocco,437
Algeria,435
Bangladesh,434
Iceland,431
Luxembourg,364
Kenya,357
Bosnia and Herzegovina,348
Georgia,343
Jamaica,333
Ghana,318
Kazakhstan,303
"Moldova, Republic of",287
Cameroon,285
Albania,281
Lebanon,274
Sri Lanka,264
Costa Rica,255
North Macedonia,251
Senegal,247
Singapore,246
Iraq,237
Saudi Arabia,230
Paraguay,228
Viet Nam,228
Democratic Republic of the Congo,214
Côte d'Ivoire,209
Syrian Arab Republic,207
Afghanistan,192
Nepal,191
Montenegro,188
Ethiopia,165
Malta,163
Puerto Rico,163
Panama,142
Zimbabwe,141
"Bolivia, Plurinational State of",141
Cyprus,129
Honduras,125
Guatemala,124
Faroe Islands,122
Fiji,120
Uzbekistan,114
Jordan,110
"Tanzania, United Republic of",109
Trinidad and Tobago,108
Mali,108
Uganda,106
Myanmar,98
Haiti,96
Qatar,95
North Korea,87
Mongolia,85
"Palestine, State of",84
El Salvador,81
Cambodia,80
Nicaragua,78
Suriname,78
Hong Kong,77
Somalia,76
Dominica,75
Libya,70
Angola,68
Bahrain,67
Burkina Faso,66
Kuwait,66
Andorra,64
Congo,58
Namibia,57
Guinea,54
United Arab Emirates,53
Tonga,52
Benin,52
Rwanda,50
Zambia,50
Gambia,49
Yemen,49
Cabo Verde,49
Madagascar,48
Tuvalu,45
Kyrgyzstan,44
Liechtenstein,44
Barbados,43
Bahamas,41
Liberia,38
Sudan,38
Gabon,38
Sierra Leone,37
Timor-Leste,36
Mozambique,36
Eritrea,35
Togo,32
Samoa,31
Mauritius,29
Botswana,28
Central African Republic,26
Guyana,25
Lao People's Democratic Republic,22
San Marino,22
Monaco,21
Tajikistan,21
Antigua and Barbuda,20
Grenada,20
Mauritania,19
Belize,19
Maldives,19
Papua New Guinea,19
Burundi,19
Guinea-Bissau,18
Seychelles,18
Saint Kitts and Nevis,17
Chad,16
Bhutan,16
Malawi,16
South Sudan,15
Solomon Islands,14
Comoros,14
Turkmenistan,14
Lesotho,13
Oman,13
Western Sahara,11
Djibouti,10
São Tomé and Príncipe,10
Saint Lucia,10
Greenland,10
Guam,10
Equatorial Guinea,10
Bermuda,9
Saint Vincent and the Grenadines,9
Marshall Islands,9
Brunei Darussalam,9
Nauru,8
"Micronesia, Federated States of",8
Palau,8
Vanuatu,8
Eswatini,6
Aruba,5
Abkhazia,5
Kiribati,5
Isle of Man,4
Moldova,4
Gibraltar,4
American Samoa,3
Niue,3
"Korea, Democratic People's Republic of",3
Cook Islands,2
Vietnam,2
Sint Maarten,1
Syria,1
Montserrat,1
Anguilla,1
Tanzania,1
Vatican City,1
Venezuela,1
Macao,1
"Virgin Islands, British",1
Guernsey,1
Cayman Islands,1
