,id,label,nationality,date_of_birth,year_of_birth,image,country
0,Q4406141,Marina Salye,soviet_union,1934-10-19T00:00:00Z,1934,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Вытеснение_людей_полицейскими_с_Лужкова_моста_2012-05-06.jpg/200px-Вытеснение_людей_полицейскими_с_Лужкова_моста_2012-05-06.jpg,Russian Federation
1,Q4422538,Sergei Skripka,russia,1949-10-05T00:00:00Z,1949,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Skripka-dirizh.jpg/200px-Skripka-dirizh.jpg,Russian Federation
2,Q4442473,Alexander Stefanovich,soviet_union,1944-12-13T00:00:00Z,1944,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/А.Стефанович._Автопортрет.jpg/200px-А.Стефанович._Автопортрет.jpg,Russian Federation
3,Q4442711,Stogniy Kostiantyn Petrovich,ukraine,1968-08-16T00:00:00Z,1968,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Стогний_Константин.jpg/200px-Стогний_Константин.jpg,Ukraine
4,Q4445933,Tatyana Sumarokova,soviet_union,1922-09-16T00:00:00Z,1922,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Т._Сумарокова.jpg/200px-Т._Сумарокова.jpg,Russian Federation
5,Q4458700,Julija Vladimirovna Tichonova,soviet_union,1958-09-18T00:00:00Z,1958,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Julia_Tikhonova_Artsmedia.jpg/200px-Julia_Tikhonova_Artsmedia.jpg,Russian Federation
6,Q4458982,Vsevolod Tkachuk,soviet_union,1946-12-19T00:00:00Z,1946,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Всеволод_Арсеньевич_Ткачук.tif/200px-Всеволод_Арсеньевич_Ткачук.tif,Russian Federation
7,Q4466580,Zinaida Tusnolobova-Marchenko,soviet_union,1920-11-23T00:00:00Z,1920,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Zinaida_Tusnolobova-Marchenko.jpg/200px-Zinaida_Tusnolobova-Marchenko.jpg,Russian Federation
8,Q4469099,Igor Ugolnikov,russia,1962-12-15T00:00:00Z,1962,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Portret-2010.jpg/200px-Portret-2010.jpg,Russian Federation
9,Q4475322,Kairat Umarov,kazakhstan,1963-01-12T00:00:00Z,1963,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Ambassador_Kairat_Umarov_Profile_Picture.jpg/200px-Ambassador_Kairat_Umarov_Profile_Picture.jpg,Kazakhstan
10,Q4479007,Jai Uttal,united_states_of_america,1951-06-12T00:00:00Z,1951,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Jai_Uttal_at_Bhaktifest_on_September_9,_2011.jpg/200px-Jai_Uttal_at_Bhaktifest_on_September_9,_2011.jpg",United States
